code_insee;commune;dept;derniere_complete;age_mois;nb_parametres_complete;nb_controles_depuis;dernier_controle;nb_depassements;nb_abandonnes_24m;nb_jamais_recherches;abandonnes
48020;Bassurels;48;2020-11-23;69;348;37;2026-03-10;0;0;0;
12249;Saint-Sever-du-Moustier;12;2020-11-03;69;336;46;2026-05-26;0;0;0;
01095;Nivigne et Suran;01;2021-01-28;67;348;39;2026-04-03;1;0;0;
67230;Kaltenhouse;67;2021-02-08;66;227;50;2026-02-26;4;0;0;
48064;Fournels;48;2021-02-23;66;334;78;2026-03-30;0;0;0;
48044;Chauchailles;48;2021-03-15;65;334;95;2026-05-27;0;0;0;
48046;Chaulhac;48;2021-03-01;65;335;23;2026-05-19;0;0;0;
48031;Brion;48;2021-04-27;64;335;28;2026-06-11;0;0;0;
42031;Caloire;42;2021-04-21;64;282;46;2026-05-05;1;1;0;ESA metolachlore (48 mois)
68128;Heimersdorf;68;2021-04-13;64;263;34;2026-06-22;1;0;0;
67359;Ohlungen;67;2021-05-26;63;221;62;2026-06-11;4;0;0;
31235;Guran;31;2021-05-31;63;332;27;2026-05-06;0;0;0;
04115;Méailles;04;2021-05-04;63;729;29;2026-05-28;1;0;0;
48175;Saint-Pierre-de-Nogaret;48;2021-05-04;63;333;183;2026-03-18;0;0;0;
04042;Castellet-lès-Sausses;04;2021-06-17;62;729;80;2026-05-19;2;0;0;
67252;Kurtzenhouse;67;2021-06-11;62;221;15;2026-04-23;3;0;0;
35357;Villamée;35;2021-06-22;62;294;13;2025-12-02;2;2;2;ESA metolachlore (62 mois) | Total des pesticides analysés (62 mois)
48079;Lajo;48;2021-06-08;62;334;69;2026-06-09;0;0;0;
28234;Marchéville;28;2021-06-04;62;336;17;2025-12-31;0;0;0;
56176;Pluneret;56;2021-06-01;62;332;43;2026-05-12;1;1;0;ESA metolachlore (62 mois)
48028;Les Bondons;48;2021-07-06;61;334;136;2026-06-30;0;0;0;
26089;Chaudebonne;26;2021-08-10;60;345;55;2026-05-15;1;0;0;
09063;Le Bosc;09;2021-09-28;59;331;113;2026-03-19;0;0;0;
48037;Chadenet;48;2021-10-11;58;332;28;2026-06-22;1;0;0;
26130;Eyroles;26;2021-10-28;58;345;17;2026-04-15;1;0;0;
48169;Saint-Léger-du-Malzieu;48;2021-10-18;58;333;23;2026-05-11;0;0;0;
